ID,Date,Interviewer,Transect,Access,BoatAccess,Meta.x,Meta.y,ActivityDate,FishingType,BaitType,TimeInEx,TimeOutEx,MedTimeEx,DecMedTimeEx,MaxDepthEx,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP
219,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (anchored),Squid,08:00,11:00,09:30,9.5,70,NA,NA,6,0,6,0,0
220,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (drifting),Prawns,09:00,10:15,09:37,9.62,15,NA,NA,1,0,1,0,0
221,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (anchored),Squid,09:30,11:30,10:30,10.5,20,NA,NA,5,0,5,0,0
222,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (anchored),Squid,09:00,14:00,11:30,11.5,15,NA,NA,18,0,18,0,0
223,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Trolling,Artificial plastic lure,11:00,15:00,13:00,13,5,NA,NA,7,4,11,36.36363636,0.363636364
224,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Trolling,Artificial plastic lure,10:00,11:00,10:30,10.5,5,NA,NA,3,1,4,25,0.25
225,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (drifting),Squid,,,,NA,25,NA,NA,26,0,26,0,0
226,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (drifting),Squid,12:00,15:00,13:30,13.5,140,NA,NA,27,0,27,0,0
227,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (drifting),Squid,09:30,12:30,11:00,11,60,NA,NA,16,0,16,0,0
228,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (anchored),Squid,,,,NA,20,NA,NA,5,6,11,54.54545455,0.545454545
