OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",x,y
219,ef921a93-6341-4fb9-9f7b-6d777f9eee79,Boat,,Demersal,Bait,12:00,13:00,4,0,0,0,,EndOfDay,,28cc862e-fb6c-4843-8bff-044a46c1d347,3/17/2022 5:11:34 AM,Nicole.Hamre_UWA,3/17/2022 5:11:34 AM,Nicole.Hamre_UWA,No,,121.902638261259,-33.8549214860055
220,d8b9bdea-a4f0-489e-95da-2a057c3b9487,Boat,,Demersal,Bait,10:00,11:45,15,18,8,0,"Herring, whiting",Weather,,9b604ba2-a872-4429-8b75-2e93c5f5fecf,3/17/2022 5:29:44 AM,Nicole.Hamre_UWA,3/17/2022 5:29:44 AM,Nicole.Hamre_UWA,Conditions,,121.870430970564,-33.8897116388137
221,6c6b96b8-5f50-4c63-bc38-3a3f487fc8e3,Boat,,Casting,Bait,19:00,12:50,12,8,2,0,Herring ,EndOfDay,,9f97e9d6-e896-40d7-8ed1-d1ca5cc26142,3/18/2022 5:00:37 AM,Nicole.Hamre_UWA,3/18/2022 5:00:37 AM,Nicole.Hamre_UWA,No,,121.912026286596,-33.881357914645
222,f871f9d8-d18a-40ce-bb7b-3599b6bc4f79,Boat,,Cray,NA,10:00,12:00,33,12,0,0,"abalone, baw fish ",Other,Scuba ,4cc6ca84-7f95-4ca1-b393-05f8cf94f6d8,3/18/2022 5:15:16 AM,Nicole.Hamre_UWA,3/18/2022 5:15:16 AM,Nicole.Hamre_UWA,Conditions,,121.903705178644,-33.9186971791037
223,9ba063e6-a3fd-4086-bfe8-ad649449f54f,Boat,,Trolling,Both,06:30,13:00,40,0,4,0,0,Weather,,ccf62c58-5289-4b1e-915a-4cbaa292011a,3/18/2022 5:49:15 AM,Nicole.Hamre_UWA,3/18/2022 5:49:15 AM,Nicole.Hamre_UWA,Conditions,,121.790927467297,-33.9265629455923
224,0c55f57c-00a3-40ac-8d9c-2ee46fb3dcee,Boat,,Casting,Both,11:00,11:30,5,0,0,0,0,Weather,,f94f6f0c-8984-4c58-b0f1-b9507df9b610,3/18/2022 5:56:49 AM,Nicole.Hamre_UWA,3/18/2022 5:56:49 AM,Nicole.Hamre_UWA,No,,121.903178780261,-33.8615256837924
225,0c55f57c-00a3-40ac-8d9c-2ee46fb3dcee,Boat,,Casting,Both,11:30,13:50,6,0,0,0,0,EndOfDay,,c4b98ae7-7f06-4009-859c-f164cdd94f11,3/18/2022 5:57:38 AM,Nicole.Hamre_UWA,3/18/2022 5:57:38 AM,Nicole.Hamre_UWA,No,,121.901086354232,-33.8711836687283
226,5cd49537-7e2b-4a94-bf16-317bc1a36bc0,Boat,,Squidding,Lure,07:30,19:50,8,0,1,0,0,Weather,,0cf074f2-4214-4e2a-878a-d1bc78d3d2aa,3/19/2022 2:03:35 AM,Nicole.Hamre_UWA,3/19/2022 2:03:35 AM,Nicole.Hamre_UWA,Conditions,,121.92120178401,-33.8526505025449
227,196b8c8c-48b6-4fb5-b644-9645c4a6ea29,Boat,,Spearing,Both,06:00,10:00,4,2,8,0,Snook,Weather,,25440cb6-3d1d-418f-8140-a9f2bf44b8b9,3/20/2022 3:48:02 AM,Nicole.Hamre_UWA,3/20/2022 3:48:02 AM,Nicole.Hamre_UWA,No,,121.898551202499,-33.9244296224045
228,196b8c8c-48b6-4fb5-b644-9645c4a6ea29,Boat,,Demersal,Both,10:00,11:30,5,3,12,0,"Whiting, king George whiting, herring ",Weather,,110bc7d6-1cfa-468f-8c09-6e0e37aa845c,3/20/2022 3:49:27 AM,Nicole.Hamre_UWA,3/20/2022 3:49:27 AM,Nicole.Hamre_UWA,No,,121.865624302871,-33.8866660273271
229,448c7285-cb60-4afb-bbb1-f55962e85e58,Boat,,Trolling,Lure,07:00,11:00,0,2,0,0,"Blue fin tuna, stripy tuna",Weather,,9cff968e-d369-4904-b407-62f0dccaa692,3/20/2022 4:14:49 AM,Nicole.Hamre_UWA,3/20/2022 4:14:49 AM,Nicole.Hamre_UWA,No,No,121.899094792841,-33.9174496093285
