OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_user,created_date,last_edited_user,last_edited_date
73,ffc99a36-d89d-4229-957c-1d6bf428e8b1,0a75c3ab-08d8-493e-9777-2a75718f2d3a,4,50,None,0,1989,6450,Esperance,Male,1,0,0,0,5,DA174,,Nicole.Hamre_UWA,4/25/2022 5:57:08 AM,Nicole.Hamre_UWA,4/25/2022 5:57:08 AM
74,9e4793fc-6ca9-4b1c-89dc-c87abfe4b2a8,85703500-8453-46c4-99a4-1ae3decc4a3f,12,20,None,0,1969,6450,Esperance,Male,0,1,0,0,5,BS400,,Nicole.Hamre_UWA,4/25/2022 6:32:12 AM,Nicole.Hamre_UWA,4/25/2022 6:32:12 AM
75,1b45710b-a4ed-48c1-bc62-4f380530dc56,ca5f587e-76e4-498e-ab83-0a6c1cdc6ee5,30,30,None,0,1978,6459,Esperance,Male,0,2,0,0,6,EU799,,Nicole.Hamre_UWA,4/25/2022 6:49:26 AM,Nicole.Hamre_UWA,4/25/2022 6:49:26 AM
76,42971a20-28c4-48da-b576-033e35850757,264dca1b-824f-4bfb-93ed-471b58aca0be,15,50,None,0,1964,6450,Esperance,Male,0,1,0,0,4,GN359,,Nicole.Hamre_UWA,4/25/2022 6:55:51 AM,Nicole.Hamre_UWA,4/25/2022 6:55:51 AM
77,542590f9-34e0-40d0-b3b6-8c87107523fa,dca1e2b4-0f7f-4e3d-b856-72e69f063c23,29,47,None,0,1965,6430,Esperance,Male,0,0,0,0,5,EC082,,Nicole.Hamre_UWA,4/21/2022 1:36:54 AM,Nicole.Hamre_UWA,4/21/2022 1:45:41 AM
78,90607474-af64-4428-bfa5-db196a1a5410,855f0abc-69d4-4cdc-95b9-62c61f3d9944,10,49,None,0,1982,6450,Esperance,Female,2,2,0,0,5,18131,,Nicole.Hamre_UWA,4/23/2022 3:08:09 AM,Nicole.Hamre_UWA,4/23/2022 3:08:09 AM
79,8ccdac8d-21fa-4cbc-808c-c588f6fc97f7,ed839688-edf8-4880-98a4-7b4c8d355496,30,10,None,0,1990,6432,Esperance,Male,0,1,0,2,6,DZ719,,Nicole.Hamre_UWA,4/23/2022 3:13:11 AM,Nicole.Hamre_UWA,4/23/2022 3:13:11 AM
80,51d1cde2-11f6-478e-86ff-7d34c0955310,ef798543-ba4c-4748-aed6-838b31d9034b,100,30,OW,,1982,6450,Esperance,Male,0,0,1,0,5,EH423,,Nicole.Hamre_UWA,4/23/2022 3:25:03 AM,Nicole.Hamre_UWA,4/23/2022 3:25:03 AM
81,0ca17ec6-473b-4236-8918-bfa9938b3882,6cda72e2-3fe1-43ae-b55f-1b3f2e875187,200,30,OW,500,1982,6450,Esperance,Male,,,,,3,Eh423,,Nicole.Hamre_UWA,4/24/2022 2:42:52 AM,Nicole.Hamre_UWA,4/24/2022 2:42:52 AM
82,7598b845-9f8d-4191-bedf-63df746ecd5c,40378532-8984-4589-be89-8707e6ee6f10,30,5,OW,20,1999,6450,Esperance,Male,,1,,,3,459259,,Nicole.Hamre_UWA,4/24/2022 4:13:03 AM,Nicole.Hamre_UWA,4/24/2022 4:13:03 AM
83,8650f2b0-b0a6-419a-bd44-9c19e77d8998,3f124f53-c96d-46bc-b609-fbc432239587,20,70,None,,1945,6450,Esperance,Male,,,,,3,Dq898,Also sailed there and back - was in a sail boat ,Nicole.Hamre_UWA,4/24/2022 4:31:07 AM,Nicole.Hamre_UWA,4/24/2022 4:31:07 AM
84,c175c1db-b65d-4b77-bcf5-072acc5fa161,893c4caa-555a-48af-a8f2-748ceb77b8f8,3,50,None,,1966,6450,Esperance,Male,,1,,,4,Ax495,,Nicole.Hamre_UWA,4/24/2022 4:48:41 AM,Nicole.Hamre_UWA,4/24/2022 4:48:41 AM
85,28254704-ead7-47ee-a0e5-fdfca511aeff,1c7ae422-e9ed-4be2-8497-738fc10d348a,24,30,None,,1969,6450,Esperance,Male,,1,,,4,Be791,,Nicole.Hamre_UWA,4/24/2022 4:58:55 AM,Nicole.Hamre_UWA,4/24/2022 5:01:59 AM
86,2cd96792-1362-4f7e-b8f6-05dc1a33106b,d1add4ed-41f0-4cb1-bda5-08e60773486d,20,15,None,,1995,6450,Esperance,Male,,1,,,4,Gi455,,Nicole.Hamre_UWA,4/24/2022 5:13:39 AM,Nicole.Hamre_UWA,4/24/2022 5:13:39 AM
