exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
57df5131-7667-474a-99af-658a3ba21da7,Boat,,Casting,Lure,10:00,11:00,30,8,2,0,Herring,EndOfDay,No,No,,adcdddc9-8127-464f-aea3-0a2e47dc5f79,Nicole.Hamre_UWA,4/15/2022 7:27:25 AM,Nicole.Hamre_UWA,4/15/2022 7:27:25 AM,122.0184467,-33.98884506
5af31222-4c9f-4522-98a5-34255387ccea,Boat,,Demersal,Both,7:00,15:00,75,40,50,2,"Nanny, breaksea cod, blue grouper, yellow tail king fish",EndOfDay,No,No,,d42c7fd6-c277-4e61-ad53-a78f40095798,Nicole.Hamre_UWA,4/15/2022 8:39:43 AM,Nicole.Hamre_UWA,4/15/2022 8:39:43 AM,122.2003226,-34.34522388
3d2cb882-be3a-4ae5-9836-6ba64e411968,Boat,,Demersal,Bait,9:00,11:00,50,8,2,0,"Breaksea cod, harekwuien, mulloway, swallow tail",EndOfDay,No,No,,bf9040e3-3691-4b06-b8b2-4e58d91aead4,Nicole.Hamre_UWA,4/16/2022 3:32:00 AM,Nicole.Hamre_UWA,4/16/2022 3:32:00 AM,121.8662239,-33.92731374
900bd04d-ee24-4343-8031-7aa1ebf9b627,Boat,,Scuba,NA,8:00,9:00,18,2,0,0,"Grouper, boar fish",Necessity,No,No,,a631150f-a0fc-46d9-9894-88317008d1b6,Nicole.Hamre_UWA,4/16/2022 3:42:30 AM,Nicole.Hamre_UWA,4/16/2022 3:42:30 AM,121.9030352,-33.92618656
900bd04d-ee24-4343-8031-7aa1ebf9b627,Boat,,Casting,Bait,11:00,11:30,4,6,12,0,Herring,EndOfDay,No,No,,9d3a1388-5902-484e-9953-435be27ca5f3,Nicole.Hamre_UWA,4/16/2022 3:43:46 AM,Nicole.Hamre_UWA,4/16/2022 3:43:46 AM,121.9023544,-33.86192259
4fa30272-b53b-4180-bfdc-174f98090304,Boat,,Trolling,Lure,8:00,12:00,0,1,0,0,,EndOfDay,No,No,,3ab9b5e1-f596-4020-b229-039e1d4c1112,Nicole.Hamre_UWA,4/16/2022 4:09:10 AM,Nicole.Hamre_UWA,4/16/2022 4:09:10 AM,121.9200385,-33.852891
af6c79b2-b38e-4819-b04a-3c38d4952d30,Boat,,Demersal,Bait,9:00,11:30,30,2,4,0,Morwong ,EndOfDay,No,No,,69278d80-60c3-4a5a-be98-a38324636523,Nicole.Hamre_UWA,4/16/2022 4:48:13 AM,Nicole.Hamre_UWA,4/16/2022 4:48:13 AM,122.0120919,-33.98157811
e856c365-1ac0-4632-ac32-ac1942a2d880,Boat,,Trolling,Lure,11:30,12:30,0,4,0,0,Herring,EndOfDay,No,No,,35d50479-be18-4e2e-9cd4-cc8a53f432b0,Nicole.Hamre_UWA,4/16/2022 5:04:34 AM,Nicole.Hamre_UWA,4/16/2022 5:04:34 AM,121.9009103,-33.86672308
045d536c-c708-4db2-ab29-ef940524bf57,Boat,,Demersal,Bait,7:30,12:00,70,9,5,0,"2 sand bow, 7 nanny",EndOfDay,No,No,,21eddc72-8f8e-4e0b-9586-293d23a261fa,Nicole.Hamre_UWA,4/16/2022 5:25:43 AM,Nicole.Hamre_UWA,4/16/2022 5:25:43 AM,121.8327267,-34.24524961
a21baf3e-4112-4cc7-87ef-4273c97cf1e7,Boat,,Demersal,Bait,9:00,10:30,35,0,3,0,,LowCatch,No,No,,afd0f02c-2491-4f4d-936b-f6e38f62dbfa,Nicole.Hamre_UWA,4/16/2022 5:30:10 AM,Nicole.Hamre_UWA,4/16/2022 5:30:10 AM,121.8218272,-33.90730851
