GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you done this survey recently? ,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Are you a Traditional Owner of the region?,x,y
A1317A62-1007-43E4-B57B-6F082494E665,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9310145,-33.83344611
2242E510-EB13-4C0E-9000-9656A79AD96C,NA,EH,BandyCreekBR,Yes,Yes,Yes,Yes,14,Yes,5,7,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9311467,-33.83313728
00EBD7D6-C03F-43AA-AE64-1FE5AB20FCFF,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,18/2/22,Nicole.Hamre_UWA,18/2/22,NA,NA,121.9311565,-33.83312681
A275649F-2910-4FA3-ABD1-778727AC2EFC,NA,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,18/2/22,Nicole.Hamre_UWA,18/2/22,NA,NA,121.9312329,-33.83358621
CAFAB483-D30B-4A36-8873-84384ED691C1,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,18/2/22,Nicole.Hamre_UWA,18/2/22,NA,NA,121.9313012,-33.83320038
0C7D9C06-FCE7-4549-BB10-B5C7D625891B,NA,NSH,EsperanceBR,Yes,No,Yes,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.8936012,-33.86464255
51DFA3F7-82DF-41CF-A0F8-1AA93FFD6A6C,NA,NSH,EsperanceBR,Yes,No,Yes,No,3,Yes,1,All,3,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.8942138,-33.86448858
E8769595-A7CF-4616-B37C-FCEB5542F34A,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.8938262,-33.86465725
4DA40B00-6CD5-4896-AEA9-AE5DD656ECDC,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.8941789,-33.8647509
4C37ABE2-3FBD-4ED5-BBA2-F35CFF58BB67,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.8943645,-33.86557763
82356359-03C8-4040-9730-E90CDFB90F38,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.8938262,-33.86465725
