OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
43,e18ffbd2-e2d8-43e7-99d0-9f27a0fafb65,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931353754631,-33.8333453122725
44,0bf88168-0b51-4c04-a5df-1de4806b8999,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931547808698,-33.8328048966802
45,db2d8dc4-07fe-4482-bfe9-135b73baf206,,NSH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931353754631,-33.8333453122725
46,f25d9cf6-3f24-4f14-bbcd-2dbcce33b748,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931378423267,-33.8333947805154
47,d094761c-9806-4a93-97c8-9fcc54e38122,,NSH,BandyCreekBR,Yes,Yes,No,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931468412,-33.8335264218367
48,a8fad5c3-1e10-4509-a0c6-cdfa3cdb488d,,EH,BandyCreekBR,Yes,No,Yes,Yes,7,Yes,4,7,3,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930851282875,-33.833291360112
49,83ac31e8-784c-47c0-b795-092ea40248e9,,CLA,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,6,4,6,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,122.358682151132,-33.9150220809848
51,fb4efaa5-65c6-4732-a5e2-07d48fa2b980,,EH,EsperanceBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89408627011,-33.8647372539682
52,d821ee09-4f80-4aa1-ba33-4ec70b53a8ba,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930545340045,-33.8336959844425
53,2f09f756-a353-4e72-9f94-435e303d7730,,NSH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931405624254,-33.8332706069186
