OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_date,created_user,last_edited_date,last_edited_user
44,00000000-0000-0000-0000-000000000000,62E5375B-D061-479F-B581-3C73FD465483,35,35,None,0,1990,6343,PinkLake,Male,1,0,0,0,5,Du287,,16/2/22 5:04,Nicole.Hamre_UWA,16/2/22 5:04,Nicole.Hamre_UWA
45,00000000-0000-0000-0000-000000000000,E69FB4CE-15F4-42DF-B15F-104D24E102FD,20,55,None,0,1959,6556,DukeOrleans,Male,0,1,0,0,3,EH259,,17/2/22 3:56,Nicole.Hamre_UWA,17/2/22 3:59,Nicole.Hamre_UWA
46,00000000-0000-0000-0000-000000000000,58875847-F392-4CCB-A35C-D050A4772A99,12,2,None,0,1990,3995,DukeOrleans,Male,1,0,1,1,3,GP647,,17/2/22 4:27,Nicole.Hamre_UWA,17/2/22 4:27,Nicole.Hamre_UWA
47,00000000-0000-0000-0000-000000000000,EF1BA608-26C6-4519-9B90-222D46B3B213,50,15,None,,1987,6450,Esperance,Male,,1,,,3,Island inflatables,,18/2/22 0:16,Nicole.Hamre_UWA,18/2/22 0:16,Nicole.Hamre_UWA
48,00000000-0000-0000-0000-000000000000,F21004A8-9AC1-425C-8308-53EC87C6C32F,25,22,OW,4,1996,6450,Esperance,Male,,,,,3,Ez853,Does a lot of free diving ,19/2/22 2:27,Nicole.Hamre_UWA,19/2/22 2:27,Nicole.Hamre_UWA
49,00000000-0000-0000-0000-000000000000,5C2E3E5A-7B08-4921-ADE2-26F61CCC51FE,6,25,None,,1989,6450,Esperance,Female,,1,,,,,"Kayak, don’t like the slime that’s building up around the boat ramps.",19/2/22 2:33,Nicole.Hamre_UWA,19/2/22 2:33,Nicole.Hamre_UWA
50,00000000-0000-0000-0000-000000000000,F3880ED3-A4EA-4797-AC02-1F119CE18FAB,12,15,None,,1982,6430,Esperance,Male,,2,,,5,Dr157,,19/2/22 3:26,Nicole.Hamre_UWA,19/2/22 3:26,Nicole.Hamre_UWA
51,00000000-0000-0000-0000-000000000000,2ED390D3-7607-4408-A22E-6C04C6DDCFA2,52,35,OW,500,1982,6450,Esperance,Male,,,,,,,"Never used to have fish taken, but now it occasionally does ie in the last 5 years. Also more bronzes than there used to be. Also, his uses overlapped between fishing and bruvs ",19/2/22 3:36,Nicole.Hamre_UWA,19/2/22 4:01,Nicole.Hamre_UWA
52,00000000-0000-0000-0000-000000000000,92645370-848A-4E6D-A542-2393E7EF0A34,14,30,None,,1978,6450,Esperance,Male,1,,,,6,Gi784,,19/2/22 3:43,Nicole.Hamre_UWA,19/2/22 3:43,Nicole.Hamre_UWA
53,00000000-0000-0000-0000-000000000000,E2E76373-85B8-48E9-A054-04FA6B457658,45,55,None,,1963,6450,Esperance,Male,,,,,4,Gf954,Never used to see white sharks but in the last 15 yrs has seen them egularly ,19/2/22 4:00,Nicole.Hamre_UWA,19/2/22 4:00,Nicole.Hamre_UWA
54,00000000-0000-0000-0000-000000000000,BE8A3801-D779-4C30-B1DD-24C6590BAB15,12,45,None,,1968,6450,Esperance,Female,1,2,1,2,7,,,19/2/22 4:13,Nicole.Hamre_UWA,19/2/22 4:13,Nicole.Hamre_UWA
55,00000000-0000-0000-0000-000000000000,3783F8F8-18D2-41A6-A1C1-51B39A4320F8,12,12,None,,1976,6450,Esperance,Female,,1,1,1,6,Du613,,19/2/22 4:19,Nicole.Hamre_UWA,19/2/22 4:19,Nicole.Hamre_UWA
56,00000000-0000-0000-0000-000000000000,97586454-4FD6-452B-A16B-87203E01E829,40,50,None,,1963,6450,Esperance,Male,,,,,7,Go967,,19/2/22 4:32,Nicole.Hamre_UWA,19/2/22 4:32,Nicole.Hamre_UWA
57,00000000-0000-0000-0000-000000000000,443C5B72-922D-489E-9B6B-323F1CF6B92D,30,9,None,,2000,6450,Esperance,Male,,1,,,4,Gn359,,19/2/22 4:45,Nicole.Hamre_UWA,19/2/22 4:45,Nicole.Hamre_UWA
58,00000000-0000-0000-0000-000000000000,FCEDCDE4-5035-49E4-ABDB-AEE8F3CDF541,3,30,None,,1985,6450,Esperance,Male,,1,,,4,83430,,19/2/22 4:53,Nicole.Hamre_UWA,19/2/22 4:53,Nicole.Hamre_UWA
59,00000000-0000-0000-0000-000000000000,DA74E667-BB5F-4409-BA2C-9C3F043FA2F8,12,40,None,,1976,6450,Esperance,Male,,,,,5,Cu900,,19/2/22 5:06,Nicole.Hamre_UWA,19/2/22 5:06,Nicole.Hamre_UWA
60,00000000-0000-0000-0000-000000000000,88AE9399-037E-41E0-A7D7-5970E27D8280,20,40,None,,1975,6450,Esperance,Male,,,,1,6,Silver ace ,,19/2/22 5:11,Nicole.Hamre_UWA,19/2/22 5:11,Nicole.Hamre_UWA
61,00000000-0000-0000-0000-000000000000,A1E5B056-77DA-48E8-BE2C-6F5762C26E08,280,45,None,,1961,6430,Esperance,Male,,1,,,7,Eo195,,19/2/22 5:15,Nicole.Hamre_UWA,19/2/22 5:15,Nicole.Hamre_UWA
62,00000000-0000-0000-0000-000000000000,7EA34AF3-4664-4006-967E-CD1BDE677861,4,45,None,,1958,6450,Esperance,Male,,1,,,6,90529,,19/2/22 5:20,Nicole.Hamre_UWA,19/2/22 5:20,Nicole.Hamre_UWA
63,00000000-0000-0000-0000-000000000000,271B9B6C-327A-4C5C-B585-4F33C4ABFA3F,8,50,None,,1951,6450,Esperance,Male,,2,,,6,54607,,19/2/22 5:27,Nicole.Hamre_UWA,19/2/22 5:27,Nicole.Hamre_UWA
64,00000000-0000-0000-0000-000000000000,2C63B783-EFCB-4AA7-AD8D-F9B5486436F0,15,40,None,,1969,6450,Esperance,Male,,2,,,6,33261,,19/2/22 5:34,Nicole.Hamre_UWA,19/2/22 5:34,Nicole.Hamre_UWA
65,00000000-0000-0000-0000-000000000000,7AD0B93E-4BA7-486F-B539-40142D477788,100,35,None,,1971,6450,Esperance,Male,,1,,,6,Gs185,,19/2/22 5:41,Nicole.Hamre_UWA,19/2/22 5:41,Nicole.Hamre_UWA
66,00000000-0000-0000-0000-000000000000,C567F82A-55D0-4314-85EE-560D20D3AD5A,8,40,None,,1968,6420,Esperance,Male,,1,,,4,E8416,"No to the marine park, they like fishing. They believe there should be places to wash down your boat. More toilet facilities needed too. Seemed to listen when told that marine parks are not all no fishing zones. ",19/2/22 6:25,Nicole.Hamre_UWA,19/2/22 6:32,Nicole.Hamre_UWA
67,00000000-0000-0000-0000-000000000000,0A5B8863-8140-4542-91EB-CEEE62F8B002,35,20,OW,10,1993,4565,Esperance,Male,2,,,,8,Ey801,,19/2/22 6:32,Nicole.Hamre_UWA,19/2/22 6:32,Nicole.Hamre_UWA
68,00000000-0000-0000-0000-000000000000,DCF47047-6C74-4E58-9E25-DFBB783E3919,50,20,None,,1998,6450,Esperance,Male,,3,,,8,Eu799,Asked about marine park and were very willing to listen ,19/2/22 7:08,Nicole.Hamre_UWA,19/2/22 7:08,Nicole.Hamre_UWA
69,00000000-0000-0000-0000-000000000000,76DDCB46-0C4E-4441-BD9E-3D890A74D6E6,0,62,None,0,1952,6450,Esperance,Male,0,2,0,0,,90856,,22/2/22 2:01,Nicole.Hamre_UWA,22/2/22 2:01,Nicole.Hamre_UWA
70,00000000-0000-0000-0000-000000000000,15590A95-C762-42B4-8E38-6F479473BD1E,42,40,AOW,500,1963,0,Esperance,Male,1,0,0,0,4,GB557,"Avidity for extractive diving, only fishing he does",22/2/22 3:49,Nicole.Hamre_UWA,22/2/22 4:24,Nicole.Hamre_UWA
71,00000000-0000-0000-0000-000000000000,1AD75C2B-5AAF-47DD-A8CC-2C8069B590D2,100,60,None,0,1951,0,Esperance,Male,0,1,0,0,4,DX350,,22/2/22 4:21,Nicole.Hamre_UWA,22/2/22 4:21,Nicole.Hamre_UWA
72,00000000-0000-0000-0000-000000000000,282D3F35-D0CD-4678-9CBF-455D021C089F,7,27,None,,1990,0,Esperance,Male,0,0,0,0,3,Gm620,,22/2/22 4:50,Nicole.Hamre_UWA,22/2/22 4:50,Nicole.Hamre_UWA
73,00000000-0000-0000-0000-000000000000,175D1C3C-38B0-4AE7-A973-9AF6E2EB2509,6,50,None,0,1959,6071,Esperance,Male,1,1,0,0,5,75708,,26/2/22 1:57,Nicole.Hamre_UWA,26/2/22 1:57,Nicole.Hamre_UWA
