OBJECTID,Guid,GlobalID,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
239,260aac34-c4af-4b7a-a408-381addbf0ef7,81112ffb-2764-41df-80d7-951554b8267a,10/01/20 08:57,10/01/20 08:57,,,30,,None,,,,Lighthouse,,,Male,Mum dad and teenaged boy,3,C,Ey166
240,f64c8182-aeeb-4d5d-bb21-ab52df9b077d,59292ec7-f68f-4fe2-b7d2-db4308ed9e12,10/02/20 03:06,10/02/20 03:06,100,,45,,None,,1974,6722,OspreyCamp,,,Male,6 families 12adults 12kids come every year for 6 years,,,
241,ee45e9e1-c0a0-4089-bbb2-a8ba747763cb,a20957dd-3a6c-4286-ab25-0a2cd68ee59e,10/02/20 03:16,10/02/20 03:16,0,,0,0,None,,1976,6153,OspreyCamp,Were staying rac ,,Female,4 adults 3 children,,,
242,ab09249d-8398-4c8b-a3fe-a217ee3b9406,fb48a1c6-fab1-4dc5-a1fb-eea86f162917,10/02/20 03:29,10/02/20 03:29,0,,0,,None,,1960,6330,YardieCamp,,,Male,Family 4,,,
243,5bce9440-c720-49e6-95fe-c365f74e54c7,4e09651a-9399-4880-b2c9-782421188088,10/02/20 03:37,10/02/20 03:37,0,0,0,0,None,,1983,6058,YardieHomestead,,,Female,Family of 4,,,
244,85a844e4-5766-43e6-9de3-5d8acf82f00e,5e227f03-02ad-4997-8cdd-6fa11139fcdd,10/02/20 04:13,10/02/20 04:13,,250,2,20,None,0,1970,6169,YardieHomestead,,,Male,2adults 2kids,,,
245,61c7d848-badb-4932-8cf2-56be38a8b289,993da53c-313c-4e6d-bdd2-cdf55ab9b637,10/02/20 04:32,10/02/20 04:32,0,,20,,None,,1971,6020,NingalooLodge,,,Male,2 families of 3,,,
246,942144aa-a4c8-4239-84da-39d35ed5ddb4,ea0fa9dc-dd56-4712-8d87-2b0d699cdc0f,10/02/20 04:48,10/02/20 04:48,5,100,32,35,AOW,100,1970,6156,OspreyCamp,Wandebandi,,Male,2 mates,,,
247,78572b31-91f7-49f6-9231-dbdc16546e35,5c3b123e-ff04-43e2-bfbb-7d767d66620f,10/02/20 07:42,10/02/20 07:42,12,156,40,40,None,,1974,6012,OspreyCamp,,,Male,2 adults 2children,,,
248,837ce344-9da9-45a5-9ec3-5d5b8978233b,70bb4cd3-9689-452b-8167-ccc3820157af,10/02/20 07:55,10/02/20 07:55,0,0,0,0,None,,1979,6012,OspreyCamp,,,Female,Family of 4 ,,,
249,88814762-61b4-45f1-8fbb-86747ca18442,d1fd2f95-3a6e-44de-bc49-e72fd26065af,10/02/20 09:47,10/02/20 09:47,4,52,1,25,None,,1985,6164,YardieHomestead,Ospreys,,Female,2 couples,,,
250,2f48a83e-dae3-4ada-977a-239e601c2aee,7b1ba731-7118-4281-8d6a-4b389a3e1efb,10/02/20 09:54,10/02/20 09:54,5,300,5,31,None,,1985,6164,YardieHomestead,Osprey,,Male, Couple,,,
251,0bc5eb06-91b5-40c8-a875-b40c1e3f53bc,46e7f15f-8541-416c-b526-bf16d7f1d466,10/03/20 07:53,10/03/20 07:53,0,,0,,,,1982,6525,YardieHomestead,,,Female,8 families 21kids 12adults,,,
252,cdc56b66-da19-4fff-9caf-8d4a7e1e70e5,466ed6f0-503c-4bf1-ae56-f1735fb4ac83,10/03/20 09:05,10/03/20 09:05,0,,0,,None,,1983,6157,NingalooLodge,,,Male,Family of 4,,,
253,29c55857-66a5-4c4f-be9c-304cb5a9063d,e13cfe79-68e6-4093-820f-85dcbde1b950,10/03/20 09:10,10/03/20 09:10,,52,,5,OW,,1995,Spearwood,YardieHomestead,,,Female,Solo,,,
254,c0f2a849-a8f4-4777-858b-d235adef2649,a88c9301-2a49-423d-9c7b-6a0ea2e6f508,10/03/20 09:32,10/03/20 09:32,0,0,0,0,Rescue,,1986,6164,RACHolPark ,,,Female,2 adults one young kid,,,
255,77714b47-ff7d-4d49-aeab-3d8d894c638a,f8198006-2f9a-4c7e-8f86-f9c076daecca,10/04/20 03:07,10/04/20 03:07,Zero,,None,,None,,2001,Padbury,Lighthouse,,,Female,1 lady by herself,,,
256,02f1fd52-ec9e-4074-b0bf-e86fe1b18e2d,575deaf9-d1f5-45ff-91de-0be1085295ff,10/04/20 06:43,10/04/20 06:43,Fortmightly,,,,None,,1982,Kojanup,NManduCamp,,,Female,3 males fishing 1 female on beach 1 teenage daughter on beach,,,
257,bcb5ab33-0d75-4e2f-bc11-c93264955616,dbca8f15-d89d-4ed1-bb50-be4a409d1546,10/04/20 06:50,10/04/20 06:50,Zero,,,,None,,1979,6012,TulkiCamp,,,Female,"Three families; total 14 , 5 adults rest kids",,,
258,782962dd-29d5-4fe1-b656-29930bba3b45,36246676-bac0-4f0d-9c40-20001dc64414,10/04/20 07:00,10/04/20 07:00,Zero but my husband goes all the time,,,,,,,Mandurah,NManduCamp,,,Female,2 ladies 4 kids,,,
259,9a9b193d-4c54-43ef-8d3c-246be86261f8,35f067a7-573c-4900-b102-a2c17e367b57,9/27/2020 4:21:41 AM,9/27/2020 4:21:41 AM,Zero,Not doing nex ,20 years,,None,,1973,Perth but from South Africa postcode byford,Exmouth,,,Male,Dad and two boys,,,
260,c5a1f5b1-ee3e-4242-925c-b141290d019e,50a07631-9033-4587-b2de-0b349e74a747,9/27/2020 7:34:45 AM,9/27/2020 7:34:45 AM,Three,,40,,,,1971,6016,CoralBay,,,Female,2 male adults 2 female adults 4 kids,6,G,Ad235
261,7008d806-f10e-49cc-b866-1e3ec6848b2e,f60c65b1-6a44-4153-925b-0883fe654616,9/27/2020 7:45:22 AM,9/27/2020 7:45:22 AM,52,,50,,,,1968,Clarkson,CoralBay,,,Male,3 adults 2 women 1 man and one teenager,5,F,Guided missile
262,0bc7549e-9179-4c2a-a4f0-a30a5d6dfab2,e303938e-1276-4bcb-ac42-3a32012a5092,9/27/2020 7:53:16 AM,9/27/2020 7:53:16 AM,20,,30,,,,1967,Bunbury,CoralBay,,,Male,"2 men, 1 woman, 2 kids",,G,Youngbloods
263,e297a308-bf39-4df3-98c1-d08471019dc7,2fc93ecc-8fb5-4797-84dd-46a39dccf098,9/28/2020 3:12:43 AM,9/28/2020 3:12:43 AM,0,,30,,None,,1988,6166,BayView,,,Female,Family of 4 ,,,
