OBJECTID,Date,GlobalID,CreationDate,EditDate,Interviewer,Transect,Access, ScreenOne,ScreenTwo,Agreement,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,DaysOnShore_Other,TimesInTwenty,TimesInNineteen,TimesInNineteen_Other,Covid,x,y,MetaComments,SurveyType,SurveyType_two
127,10/01/20,3681ede7-1379-482c-856a-a3b8c3972371,10/01/20 03:06,10/01/20 03:06,Sam,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.9786938,-21.91240964,,,
267,10/01/20,7036febc-9142-47d5-a8f0-142616f428aa,10/01/20 03:03,10/01/20 03:03,Nicole,Tantabiddi,Turquoise Bay 1,Yes,No,No,,,,,,,,,,113.8857842,-22.09912362,,,
126,10/01/20,b9179fd5-a280-4b85-b20b-e6394bd36db0,10/01/20 02:42,10/01/20 02:42,Sam,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.9787939,-21.91270161,,,
124,10/01/20,e14dbf63-758f-4abd-8a44-c2f24fa651c3,10/01/20 02:15,10/01/20 02:15,Sam,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.9788093,-21.91259577,,,
261,10/01/20,99279eac-05b9-4b1c-affb-6afeb08177a9,10/01/20 02:06,10/01/20 02:06,Nicole,Tantabiddi,Turquoise Bay 1,Yes,No,No,No,,,,,,,,,113.8856511,-22.10023074,,,
122,10/01/20,643b1c9a-b37c-4a5c-93dd-4bf41070e8b8,10/01/20 01:54,10/01/20 01:54,Sam,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.9788179,-21.91273987,,,
207,9/30/2020 9:53:30 AM,3520db46-8b0d-46bb-b28b-c82be756a5f2,9/30/2020 9:55:53 AM,9/30/2020 9:55:53 AM,Sam,Bundegi,Wobiri,Yes,No,Yes,12,No,0,12,,0,1,,No,114.0318601,-21.84896492,,,
206,9/30/2020 9:42:21 AM,6ca28078-09f1-4e21-9d9b-4a758368fe98,9/30/2020 9:47:26 AM,9/30/2020 9:47:26 AM,Sam,Bundegi,Wobiri,Yes,No,Yes,11,No,0,11,,1,0,,No,114.0299578,-21.84934065,,,
257,9/30/2020 9:45:14 AM,1133b472-ca3e-4911-b27c-d8ee3b9565cb,9/30/2020 9:46:53 AM,9/30/2020 9:46:53 AM,Nicole,Bundegi,BunBR,Yes,Yes,Yes,14,Yes,7,14,,2,4,,No,114.1732457,-21.83077452,,,
205,9/30/2020 9:34:18 AM,abb8b0b9-ce25-4ac3-90b7-d838cb083aca,9/30/2020 9:35:53 AM,9/30/2020 9:35:53 AM,Sam,Bundegi,Wobiri,Yes,No,Yes,14,No,0,10,,0,0,,No,114.0292537,-21.84936487,,,
204,9/30/2020 9:04:32 AM,0193b1cb-3b58-44cb-979f-b79811755cdc,9/30/2020 9:12:54 AM,9/30/2020 9:12:54 AM,Sam,Bundegi,Wobiri,Yes,Yes,Yes,5,No,0,5,,0,0,,Yes,114.0300801,-21.84875447,,,
253,9/30/2020 9:05:23 AM,8672d760-6830-4f89-9f4d-e64d047a28ef,9/30/2020 9:05:23 AM,9/30/2020 9:05:23 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,7,Yes,2,7,,2,1,,No,114.1732727,-21.83078852,,,
119,9/30/2020 8:58:44 AM,0ca8a85e-af3c-4538-b2fb-8b1fb9d0cb90,9/30/2020 9:00:25 AM,9/30/2020 9:00:25 AM,Gabby,Bundegi,Wobiri,Yes,No,Yes,12,No,0,12,,0,0,,Yes,114.0682813,-21.82933036,,,
203,9/30/2020 8:53:53 AM,92acdb9f-5efa-4df1-8b00-e23d32d33623,9/30/2020 8:55:34 AM,9/30/2020 8:55:34 AM,Sam,Bundegi,Wobiri,Yes,No,Yes,14,No,0,14,,0,0,,Yes,114.0476427,-21.84098525,,,
252,9/30/2020 8:52:33 AM,cfeca107-7f6a-4f5d-82c6-b1153ec24b7f,9/30/2020 8:54:07 AM,9/30/2020 8:54:07 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,7,Yes,7,0,,0,0,,No,114.1732714,-21.83075872,,,
118,9/30/2020 8:50:28 AM,48584fe1-127c-46e8-9e70-9b3a5e6d49bd,9/30/2020 8:52:44 AM,9/30/2020 8:52:44 AM,Gabby,Bundegi,Wobiri,Yes,Yes,Yes,13,No,0,13,,0,0,,Yes,114.0688307,-21.82974769,,,
251,9/30/2020 8:44:32 AM,470cdad4-cc32-4a73-868e-879fa80aa7e3,9/30/2020 8:46:18 AM,9/30/2020 8:46:18 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,7,Yes,3,2,,0,0,,No,114.1732724,-21.83076199,,,
248,9/30/2020 8:23:48 AM,af44acf8-2792-42eb-b7b5-3611d5620d97,9/30/2020 8:27:22 AM,9/30/2020 8:27:22 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,16,Yes,8,16,,1,0,,No,114.1732457,-21.8307694,,,
202,9/30/2020 8:30:47 AM,8096c1b7-5a8c-44f3-bd69-1506157c8819,9/30/2020 8:24:45 AM,9/30/2020 8:24:45 AM,Sam,Bundegi,Janz,Yes,No,Yes,9,No,0,8,,0,1,,No,114.07174,-21.82749173,,,
116,9/30/2020 8:19:05 AM,b377be0a-da40-47fc-a2ae-8c5889667349,9/30/2020 8:23:11 AM,9/30/2020 8:23:11 AM,Gabby,Bundegi,Janz,Yes,No,Yes,12,Yes,9,12,,0,1,,Yes,114.0728365,-21.82738979,,,
247,9/30/2020 8:18:24 AM,67ea8bf8-5af1-44aa-a164-daf763c63e40,9/30/2020 8:20:06 AM,9/30/2020 8:20:06 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,10,Yes,8,2,,0,0,,No,114.1732616,-21.83077963,,,
200,9/30/2020 8:13:17 AM,02fa6fce-fc92-425a-9850-a7c12aa0733f,9/30/2020 8:17:37 AM,9/30/2020 8:17:37 AM,Sam,Bundegi,Janz,Yes,No,Yes,14,Yes,14,0,,0,2,,No,114.07272,-21.82727495,,,
246,9/30/2020 8:11:56 AM,a9cdd0a0-e151-4532-b707-12fd34dcef8d,9/30/2020 8:13:03 AM,9/30/2020 8:44:00 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,Resident,,,,,,,,,114.1732733,-21.8307708,,,
244,9/30/2020 7:53:07 AM,901ae280-d157-471a-8400-314abcbd783f,9/30/2020 7:54:43 AM,9/30/2020 7:54:43 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,10,Yes,2,10,,0,0,,No,114.1732519,-21.83078784,,,
243,9/30/2020 7:34:34 AM,cad2346f-cb5a-4111-8d0e-c7929b433cb5,9/30/2020 7:41:31 AM,9/30/2020 8:42:03 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,14,Yes,5,0,,1,1,,No,114.1732973,-21.83078353,,,
199,9/30/2020 7:26:22 AM,31b5003b-8eea-405f-a7d4-1b6d06312f77,9/30/2020 7:28:10 AM,9/30/2020 7:28:10 AM,Sam,Bundegi,DunesBeach,Yes,No,Yes,7,No,0,7,,0,0,,Yes,114.1461153,-21.79650149,,,
242,9/30/2020 7:22:49 AM,0fa09e02-d6aa-4a8e-b8f3-5be3e198a1a1,9/30/2020 7:24:39 AM,9/30/2020 8:43:51 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,6,Yes,6,6,,0,0,,Yes,114.1733144,-21.83074543,,,
113,9/30/2020 7:19:02 AM,44d4d6c8-6e87-438a-a084-e3ef52febbca,9/30/2020 7:21:52 AM,9/30/2020 7:21:52 AM,Gabby,Bundegi,DunesBeach,Yes,No,Yes,9,Yes,9,9,,1,1,,No,114.1800029,-21.77610931,,,
198,9/30/2020 7:16:13 AM,fa265a67-4f35-4bea-b734-fdb090dffde8,9/30/2020 7:21:11 AM,9/30/2020 7:21:11 AM,Sam,Bundegi,DunesBeach,Yes,No,Yes,90,No,0,90,,1,0,,Yes,114.146651,-21.79694362,,,
241,9/30/2020 7:17:07 AM,59a628e1-b8eb-4c3d-90fc-66adac6b8499,9/30/2020 7:18:19 AM,9/30/2020 7:18:19 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,7,Yes,3,7,,0,0,,Yes,114.1732904,-21.83080859,,,
240,9/30/2020 7:02:03 AM,1b0246c7-159a-4c39-9de4-0f31818d6994,9/30/2020 7:04:38 AM,9/30/2020 8:43:08 AM,Nicole,Bundegi,BunBR,Yes,No,Yes,14,Yes,5,14,,3,2,,No,114.1733446,-21.83075365,Would of been somewhere else in July school h9idays ,,
112,9/30/2020 4:19:18 AM,0855bdb4-27dc-44c7-81b8-91931c17a498,9/30/2020 4:21:18 AM,9/30/2020 4:21:18 AM,Gabby,Tantabiddi,TantBR,Yes,No,Yes,5,Yes,5,5,,0,1,,No,113.978936,-21.91299456,,,
111,9/30/2020 4:08:25 AM,6df7eb6b-9a79-40d5-8ba7-453ccc204bf8,9/30/2020 4:12:41 AM,9/30/2020 4:12:41 AM,Gabby,Tantabiddi,TantBR,Yes,No,Yes,7,Yes,7,7,,0,0,,No,113.9782728,-21.91368002,,,
197,9/30/2020 4:06:16 AM,98129e26-31b1-4a11-9cbc-c9a52d8840a0,9/30/2020 4:07:46 AM,9/30/2020 4:07:46 AM,Sam,Tantabiddi,SandyBay,Yes,Yes,Yes,14,No,0,10,,0,,,Yes,113.8433783,-22.23127155,,,
238,9/30/2020 4:02:34 AM,69a7f8ad-f875-4430-a763-ba1a7f12ef7c,9/30/2020 4:06:11 AM,9/30/2020 4:06:11 AM,Nicole,Tantabiddi,SandyBay,Yes,No,Yes,10,Yes,9,10,,2,1,,No,113.8419198,-22.23073291,,,
196,9/30/2020 3:58:05 AM,febdae93-bb82-45db-8133-70342c69bbd3,9/30/2020 4:00:36 AM,9/30/2020 4:00:36 AM,Sam,Tantabiddi,SandyBay,Yes,No,Yes,7,No,0,7,,1,1,,Yes,113.8423089,-22.23203185,,,
237,9/30/2020 3:52:07 AM,2c7ff2e1-6eb2-4bd8-8cac-be9e17f4c427,9/30/2020 3:55:28 AM,9/30/2020 3:55:28 AM,Nicole,Tantabiddi,SandyBay,Yes,No,Yes,20,Yes,18,20,,1,1,,No,113.8422895,-22.23075378,,,
195,9/30/2020 3:50:23 AM,ef4c1e50-4e45-4f11-8918-e93a5365a4bf,9/30/2020 3:52:28 AM,9/30/2020 3:52:28 AM,Sam,Tantabiddi,SandyBay,Yes,No,Yes,10,No,0,10,,0,1,,Yes,113.8430971,-22.23276433,,,
236,9/30/2020 3:44:48 AM,de2e329f-1271-449f-8633-7e5b62a55015,9/30/2020 3:47:29 AM,9/30/2020 3:47:29 AM,Nicole,Tantabiddi,SandyBay,Yes,No,Yes,9,No,0,5,,0,0,,No,113.8423458,-22.23088379,,,
194,9/30/2020 3:43:43 AM,6f57804f-2015-47b4-9922-283a8ef71042,9/30/2020 3:45:32 AM,9/30/2020 3:45:32 AM,Sam,Tantabiddi,SandyBay,Yes,No,Yes,10,No,0,10,,0,0,,Yes,113.842469,-22.23111698,,,
235,9/30/2020 3:34:45 AM,ddc6fcc1-e056-4d8f-8c96-edd91ebf4909,9/30/2020 3:37:30 AM,9/30/2020 3:37:30 AM,Nicole,Tantabiddi,SandyBay,Yes,No,Yes,11,No,0,6,,0,1,,No,113.8426458,-22.23085386,,,
193,9/30/2020 3:34:58 AM,0c014466-3795-448a-9bc6-f69ca281fa5a,9/30/2020 3:36:44 AM,9/30/2020 3:36:44 AM,Sam,Tantabiddi,SandyBay,Yes,No,Yes,5,No,1,5,,0,0,,No,113.8428878,-22.23223202,,,
110,9/30/2020 3:27:21 AM,b50cea6f-1e1f-4aa5-b830-2b80fd41645e,9/30/2020 3:29:27 AM,9/30/2020 3:29:27 AM,Gabby,Tantabiddi,TantBR,Yes,No,Yes,9,Yes,10,11,,1,1,,No,113.9756834,-21.91546811,,,
109,9/30/2020 3:08:07 AM,d6bb0587-3b99-45d4-b4db-ce8e3e5d9ed0,9/30/2020 3:10:00 AM,9/30/2020 3:10:00 AM,Gabby,Tantabiddi,TantBR,Yes,No,Yes,12,Yes,10,12,,0,1,,No,113.9791303,-21.91246222,,,
108,9/30/2020 2:59:39 AM,14fce223-3414-4c27-ad6b-3f50f206d8f3,9/30/2020 2:59:39 AM,9/30/2020 2:59:39 AM,Gabby,Tantabiddi,TantBR,Yes,No,Yes,90,No,0,90,,0,0,,No,113.9783494,-21.91261931,,,
192,9/29/2020 9:57:33 AM,7254da1c-0d4f-4136-9c39-fe1f6f14bcc6,9/29/2020 9:59:30 AM,9/29/2020 9:59:30 AM,Sam,Bundegi,BunBR,Yes,No,Yes,16,Yes,16,0,,0,0,,Yes,114.1703476,-21.83516969,,,
