"OBJECTID","GlobalID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number","Comments","created_date","created_user","last_edited_date","last_edited_user"
146,"00000000-0000-0000-0000-000000000000","6989C75C-5493-4583-BAD9-39D2A8F79B96",5,2,"None",NA,1994,6430,"Esperance","Male",NA,1,NA,NA,6,"19173",NA,"12/3/22 5:38","Nicole.Hamre_UWA","12/3/22 5:41","Nicole.Hamre_UWA"
147,"00000000-0000-0000-0000-000000000000","DA6E33C6-2B31-48C2-B7DA-FE74A0B5E435",5,30,"AOW",500,1971,6150,"Esperance","Female",1,1,1,NA,6,"Cg391","Not 100% sure that is the right boat number","12/3/22 3:08","Nicole.Hamre_UWA","12/3/22 3:08","Nicole.Hamre_UWA"
148,"00000000-0000-0000-0000-000000000000","E0910706-D726-4010-BBFD-BDD7928CAC6E",4,40,"None",NA,1969,6432,"Esperance","Male",NA,3,NA,NA,5,"EA676",NA,"11/3/22 4:37","Nicole.Hamre_UWA","11/3/22 4:37","Nicole.Hamre_UWA"
149,"00000000-0000-0000-0000-000000000000","AD756891-36D6-442D-B159-D2E510301221",20,50,"None",0,1945,0,"Esperance","Male",1,0,0,0,3,NA,"Couldn’t read boat number","10/3/22 5:16","Nicole.Hamre_UWA","10/3/22 5:33","Nicole.Hamre_UWA"
150,"00000000-0000-0000-0000-000000000000","A340D541-752E-4D35-A556-3F344B640220",13,16,"None",NA,1991,6330,"Esperance","Male",NA,3,NA,NA,6,"Bo588",NA,"12/3/22 6:43","Nicole.Hamre_UWA","12/3/22 6:43","Nicole.Hamre_UWA"
151,"00000000-0000-0000-0000-000000000000","E136992D-E229-462E-BC82-824809D83ED1",13,30,"None",NA,1985,6450,"Esperance","Male",NA,1,NA,NA,4,"35452",NA,"12/3/22 7:24","Nicole.Hamre_UWA","12/3/22 7:24","Nicole.Hamre_UWA"
152,"00000000-0000-0000-0000-000000000000","E8464E00-20AB-471A-9BC3-360628BC350B",12,2,"None",NA,1952,6450,"Esperance","Male",NA,1,NA,NA,3,"Ed284",NA,"9/3/22 3:01","Nicole.Hamre_UWA","9/3/22 3:01","Nicole.Hamre_UWA"
153,"00000000-0000-0000-0000-000000000000","E162F75C-9E9A-4D59-9996-A55D4BDCEB9F",6,12,"None",NA,1964,6448,"Esperance","Male",NA,3,NA,NA,7,"Aj288",NA,"11/3/22 5:06","Nicole.Hamre_UWA","11/3/22 5:06","Nicole.Hamre_UWA"
154,"00000000-0000-0000-0000-000000000000","8DAD0574-EA07-4DCD-9EBB-AD0107D5738E",50,40,"OW",500,1963,0,"Esperance","Male",1,0,0,0,4,"GB557",NA,"10/3/22 3:42","Nicole.Hamre_UWA","10/3/22 3:42","Nicole.Hamre_UWA"
155,"00000000-0000-0000-0000-000000000000","815033D5-9F70-4487-A728-D14DC51EB08E",8,30,"None",NA,1972,5690,"Esperance","Male",NA,1,NA,NA,7,"Fy824",NA,"11/3/22 4:50","Nicole.Hamre_UWA","11/3/22 4:50","Nicole.Hamre_UWA"
